Epoch,Train_Loss,Hiding_PSNR,Recovery_PSNR,Bit_Accuracy,w_hid,w_rec
1,353.37141592843193,28.378870010375977,11.715537071228027,0.5655243542729592,0.04134999215602875,0.9586500078439713
2,133.78757247924804,23.118030548095703,18.781368255615234,0.5536021537521258,0.12006129324436188,0.8799387067556381
3,72.96137174878801,21.093923568725586,17.634538650512695,0.6590659212903912,0.33531004190444946,0.6646899580955505
4,77.68755207061767,22.109086990356445,18.276565551757812,0.6470797791772959,0.27144095301628113,0.7285590469837189
5,56.87588351113455,22.264785766601562,20.92812728881836,0.6447745602147109,0.2941901981830597,0.7058098018169403
6,43.55640847342355,22.568761825561523,16.753206253051758,0.6529657273065477,0.3345741033554077,0.6654258966445923
7,51.30892590114048,23.55304718017578,19.51791000366211,0.6318450720131803,0.3782418966293335,0.6217581033706665
8,42.41367383684431,22.173980712890625,19.206945419311523,0.5950130540497449,0.2593706548213959,0.7406293451786041
9,38.08245985848563,23.471664428710938,21.689613342285156,0.6685201424319728,0.1633710116147995,0.8366289883852005
10,39.00133500780378,21.65587615966797,18.32356071472168,0.6007462066857994,0.4282463788986206,0.5717536211013794
